name,pRT_name,Hill_notation,mass,color,mathtext_name,C,O,H,N,S
12CO,CO_main_iso,C1O1,28.009999999999998,C2,$^{12}$CO,1,1,0,0,0
13CO,CO_36,,29.002355,chocolate,$^{13}$CO,1,1,0,0,0
C18O,CO_28,,30.010161,C6,C$^{18}$O,1,1,0,0,0
C17O,CO_27,,29.010130999999998,C7,C$^{17}$O,1,1,0,0,0
H2O,H2O_pokazatel_main_iso,H2O1,18.014680000000002,C3,H$_2$O,0,1,2,0,0
H2(18)O,H2O_181,,20.014841,C7,H$_2^{18}$O,0,1,2,0,0
H2(17)O,H2O_171,,19.014810999999998,C7,H$_2^{17}$O,0,1,2,0,0
HDO,HDO_voronin,,19.02084,b,HDO,0,1,2,0,0
OH,OH_main_iso,H1O1,17.00684,b,OH,0,1,1,0,0
CH,CH_main_iso,C1H1,13.018839999999999,b,CH,1,0,1,0,0
CN,CN_main_iso,C1N1,26.017699999999998,b,CN,1,0,0,1,0
CH4,CH4_hargreaves_main_iso,C1H4,16.04236,C4,CH$_4$,1,0,4,0,0
13CH4,13CH4_hargreaves,,17.034715000000002,purple,$^{13}$CH$_4$,1,0,4,0,0
NH3,NH3_coles_main_iso,H3N1,17.03022,C8,NH$_3$,0,0,3,1,0
HCN,HCN_main_iso,C1H1N1_1,27.02554,C10,HCN,1,0,1,1,0
H2S,H2S_ExoMol_main_iso,H2S1,34.08068,C11,H$_2$S,0,0,2,0,1
FeH,FeH_main_iso,Fe1H1,56.85284,C12,FeH,0,0,1,0,0
CrH,CrH_main_iso,Cr1H1,53.00394,C15,CrH,0,0,1,0,0
NaH,NaH_main_iso,H1Na1,23.997609,C16,NaH,0,0,1,0,0
TiH,TiH_main_iso,H1Ti1,48.87484,C17,TiH,0,0,1,0,0
ScH,ScH_main_iso,H1Sc1,45.963752,C18,ScH,0,0,1,0,0
CaH,CaH_main_iso,Ca1H1,41.085840000000005,C19,ScH,0,0,1,0,0
46TiO,TiO_46_Exomol_McKemmish,,61.951,C11,$^{46}$TiO,0,1,0,0,0
47TiO,TiO_47_Exomol_McKemmish,,62.95,C12,$^{47}$TiO,0,1,0,0,0
48TiO,TiO_48_Exomol_McKemmish,O1Ti1,63.946000000000005,C13,$^{48}$TiO,0,1,0,0,0
49TiO,TiO_49_Exomol_McKemmish,,64.946,C14,$^{49}$TiO,0,1,0,0,0
50TiO,TiO_50_Exomol_McKemmish,,65.943,C15,$^{50}$TiO,0,1,0,0,0
TiO,TiO_48_Exomol_McKemmish,O1Ti1,63.946000000000005,C13,TiO,0,1,0,0,0
VO,VO_ExoMol_McKemmish,O1V1,66.9405,C15,VO,0,1,0,0,0
AlO,AlO_main_iso,Al1O1,42.980539,C14,AlO,0,1,0,0,0
MgO,MgO_Sid_main_iso,Mg1O1,40.304,C15,MgO,0,1,0,0,0
CO2,CO2_main_iso,C1O2,44.009,C9,CO$_2$,1,2,0,0,0
HF,HF_main_iso,F1H1,20.006243,C14,HF,0,0,1,0,0
HCl,HCl_main_iso,Cl1H1,36.460840000000005,C15,HCl,0,0,1,0,0
H2,H2,H2,2.01568,C0,H$_2$,0,0,2,0,0
K,K,K,39.0983,C18,K,0,0,0,0,0
Knearwing,Knearwing,K,39.0983,C18,K,0,0,0,0,0
KshiftHe,KshiftHe,K,39.0983,C18,K,0,0,0,0,0
KshiftH2,KshiftH2,K,39.0983,C18,K,0,0,0,0,0
Na,Na_allard,Na,22.989769,C19,Na,0,0,0,0,0
Ti,Ti,Ti,47.867,C20,Ti,0,0,0,0,0
V,V,V,50.9415,C26,V,0,0,0,0,0
Fe,Fe,Fe,55.845,C21,Fe,0,0,0,0,0
Ca,Ca,Ca,40.078,C22,Ca,0,0,0,0,0
Al,Al,Al,26.981539,C23,Al,0,0,0,0,0
Mg,Mg,Mg,24.305,C24,Mg,0,0,0,0,0
Mn,Mn,Mn,54.938044,C25,Mn,0,0,0,0,0
Cr,Cr,Cr,51.9961,C25,Cr,0,0,0,0,0
He,He,He,4.002602,C1,He,0,0,0,0,0
